,Entity,Code,Year,Food Gross Production Value (constant 2014-2016 thousand US$),CTS Code,CTS Full Descriptor,CTS Name,Country,ISO2,ISO3,Indicator,Source,Unit,TempChange,Growth Rate,OECD_LDC,DevStaus
0,Albania,ALB,1961,534354000,ECCS,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",Surface Temperature Change,Albania,AL,ALB,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980","Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",Degree Celsius,0.643,,Other,Other
1,Albania,ALB,1962,552876000,ECCS,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",Surface Temperature Change,Albania,AL,ALB,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980","Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",Degree Celsius,0.351,0.034662414803669384,Other,Other
2,Albania,ALB,1963,547708000,ECCS,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",Surface Temperature Change,Albania,AL,ALB,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980","Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",Degree Celsius,0.089,-0.009347484788632565,Other,Other
3,Albania,ALB,1964,612691000,ECCS,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",Surface Temperature Change,Albania,AL,ALB,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980","Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",Degree Celsius,-0.154,0.11864533656619947,Other,Other
4,Albania,ALB,1965,574962000,ECCS,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",Surface Temperature Change,Albania,AL,ALB,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980","Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",Degree Celsius,-0.377,-0.0615791647012931,Other,Other
5,Albania,ALB,1966,649270000,ECCS,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",Surface Temperature Change,Albania,AL,ALB,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980","Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",Degree Celsius,0.565,0.12923984541587097,Other,Other
6,Albania,ALB,1967,700501000,ECCS,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",Surface Temperature Change,Albania,AL,ALB,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980","Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",Degree Celsius,-0.071,0.07890554006807649,Other,Other
7,Albania,ALB,1968,720475000,ECCS,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",Surface Temperature Change,Albania,AL,ALB,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980","Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",Degree Celsius,0.085,0.028513877924513986,Other,Other
8,Albania,ALB,1969,738660000,ECCS,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",Surface Temperature Change,Albania,AL,ALB,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980","Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",Degree Celsius,-0.009,0.025240292862347857,Other,Other
9,Albania,ALB,1970,771791000,ECCS,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",Surface Temperature Change,Albania,AL,ALB,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980","Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",Degree Celsius,-0.114,0.04485284163214476,Other,Other
